"Staten Island Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011.",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,8, ,A5, 4730 AMBOY ROAD                           ,            ,10312,1,0,1,"3,149","1,110",2002, 1 , A5 ,"$450,000",2/4/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5397,51, ,A1, 23 EYLANDT STREET                         ,            ,10312,1,0,1,"10,120","3,000",1985, 1 , A1 ,$0,10/7/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,23, ,A3, 75 NOEL STREET                            ,            ,10312,1,0,1,"10,000","4,095",1991, 1 , A3 ,$0,6/3/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,23, ,A3, 75 NOEL STREET                            ,            ,10312,1,0,1,"10,000","4,095",1991, 1 , A3 ,$0,6/3/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,18, ,A2, 1610 ARDEN AVENUE                         ,            ,10312,1,0,1,"7,500","2,128",1970, 1 , A2 ,$0,2/28/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,13, ,A5, 99 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,845","1,854",1986, 1 , A5 ,"$338,000",12/19/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,22, ,A5, 83 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,546","1,579",1986, 1 , A5 ,$0,9/27/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,32, ,A5, 63 EAGAN AVENUE                           ,            ,10312,1,0,1,"2,358","1,854",1986, 1 , A5 ,"$180,455",11/25/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,22, ,A5, 5 EAGAN AVENUE                            ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,"$345,000",5/19/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,89, ,A1, 1094 ARDEN AVENUE                         ,            ,10312,1,0,1,"4,200","1,536",1970, 1 , A1 ,"$410,000",7/28/2011
